,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
213,Mahadevapura,12.9934976,77.6924156,Taco Bell,12.993259,77.695655,Fast Food Restaurant
214,Mahadevapura,12.9934976,77.6924156,Hanoi,12.995700582144725,77.69624738229824,Vietnamese Restaurant
215,Mahadevapura,12.9934976,77.6924156,Soch,12.997075783806743,77.6907400031864,Women's Store
216,Mahatma Gandhi Road,12.9730154,77.6166123,The Oberoi,12.973457334267048,77.61828850236205,Hotel
217,Mahatma Gandhi Road,12.9730154,77.6166123,Teppan,12.975726856353143,77.6168786042435,Japanese Restaurant
218,Mahatma Gandhi Road,12.9730154,77.6166123,Vivanta by Taj,12.973365292763003,77.61995066928176,Hotel
219,Mahatma Gandhi Road,12.9730154,77.6166123,Foodhall,12.973485690482145,77.62011698527735,Department Store
220,Mahatma Gandhi Road,12.9730154,77.6166123,Yauatcha,12.973317763148415,77.62007163708287,Asian Restaurant
221,Mahatma Gandhi Road,12.9730154,77.6166123,Häagen-Dazs,12.973017727941384,77.61991382607145,Ice Cream Shop
222,Mahatma Gandhi Road,12.9730154,77.6166123,Starbucks,12.972374,77.618546,Coffee Shop
223,Mahatma Gandhi Road,12.9730154,77.6166123,Marks & Spencer,12.973272296191876,77.62016592436319,Clothing Store
224,Mahatma Gandhi Road,12.9730154,77.6166123,i-BAR,12.973822826489533,77.61932763072113,Hotel Bar
225,Mahatma Gandhi Road,12.9730154,77.6166123,Benjarong,12.975615243466907,77.61691626671352,Thai Restaurant
226,Mahatma Gandhi Road,12.9730154,77.6166123,Portland Steakhouse & Cafe,12.97028194685382,77.61477904119671,Steakhouse
227,Mahatma Gandhi Road,12.9730154,77.6166123,Ice Bar,12.973554439392961,77.61995933760171,Bar
228,Mahatma Gandhi Road,12.9730154,77.6166123,Le Jardin,12.973562356848221,77.61786429068648,French Restaurant
229,Mahatma Gandhi Road,12.9730154,77.6166123,Ente Keralam,12.975569263752478,77.61694306426837,Indian Restaurant
230,Mahatma Gandhi Road,12.9730154,77.6166123,Cafe Mozaic,12.973641828898975,77.61976239834883,Restaurant
231,Mahatma Gandhi Road,12.9730154,77.6166123,Chaipatty ulsoor,12.976060519139244,77.61533822946954,Tea Room
232,Mahatma Gandhi Road,12.9730154,77.6166123,Rim Naam,12.973580471422371,77.61789370553934,Asian Restaurant
233,Mahatma Gandhi Road,12.9730154,77.6166123,Marzipan Cafe & Bakery,12.974775676411495,77.61946513734968,Mediterranean Restaurant
234,Mahatma Gandhi Road,12.9730154,77.6166123,Aqua,12.973761172729041,77.6192035799538,Nightclub
235,Mahatma Gandhi Road,12.9730154,77.6166123,Graze,12.973510863911436,77.61993663874567,Modern European Restaurant
236,Mahatma Gandhi Road,12.9730154,77.6166123,Being Human,12.972778845178517,77.6200699343011,Clothing Store
237,Mahatma Gandhi Road,12.9730154,77.6166123,Chai Point,12.973211491075135,77.61680162910571,Café
238,Mahatma Gandhi Road,12.9730154,77.6166123,Tandoor,12.97381919971058,77.61324725814804,Indian Restaurant
239,Mahatma Gandhi Road,12.9730154,77.6166123,Szechwan Court,12.973511212766514,77.61808187181983,Chinese Restaurant
240,Mahatma Gandhi Road,12.9730154,77.6166123,Monsoon @ The Park,12.973696614596705,77.61963523943452,Diner
241,Mahatma Gandhi Road,12.9730154,77.6166123,Domino's Pizza,12.973,77.617,Pizza Place
242,Mahatma Gandhi Road,12.9730154,77.6166123,Pinxx,12.974913775785856,77.61531377993326,Restaurant
243,Mahatma Gandhi Road,12.9730154,77.6166123,Carnival-De-Goa,12.974940560849392,77.62009617214915,Seafood Restaurant
244,Mahatma Gandhi Road,12.9730154,77.6166123,The Coffee Bean & Tea Leaf,12.973468860307642,77.62007900468181,Café
